S,Fe,Zr,sevenhundred
0.4662,0.6408,0.0075,14.7083807
0.3576,0.2518,0.0027,37.16466904
0.3671,0.1533,0.0023,55.63536835
0.4372,0.7164,0.0039,25.26673317
0.3602,0.2141,0.0024,37.93484116
0.3579,0.1718,0.0023,59.53925323
0.3534,0.2928,0.0026,38.23002243
0.3604,0.159,0.0019,40.62561798
0.366,0.2157,0.0022,35.85905075
0.3543,0.1773,0.0021,46.65848541
0.3616,0.1871,0.002,50.89181137
0.3274,0.1445,0.0024,61.9757843
0.3493,0.1555,0.0023,61.83351135
0.3293,0.1439,0.002,67.24632263
0.325,0.1459,0.0019,73.16110992
0.3343,0.1612,0.002,67.13765717
0.3465,0.1765,0.0018,53.11052322
0.3688,0.1952,0.0018,54.48609543
0.4894,0.2145,0.0018,47.12896729
0.3737,0.2175,0.0022,59.76973343
0.3724,0.2125,0.0017,59.61617279
0.3803,0.2456,0.0022,58.4804306
0.3766,0.2243,0.002,53.76012802
0.3847,0.234,0.002,49.42396164
0.3681,0.2025,0.002,54.62697601
0.3789,0.2024,0.0016,62.97943497
0.3866,0.2106,0.0022,62.05221558
0.3694,0.2059,0.0017,61.07946014
0.3679,0.2531,0.0025,58.13595581
0.39,0.2186,0.0022,62.69458389
0.3843,0.2164,0.0019,61.74323654
0.3555,0.2233,0.0024,62.2731514
0.3728,0.2082,0.002,61.54682541
0.3804,0.2375,0.0021,59.65238953
0.4071,0.2331,0.0021,55.38761139
0.3669,0.1976,0.0022,45.98705292
0.3254,0.0917,0.0015,22.51847267
0.384,0.717,0.0022,17.3043251
0.4507,0.4019,0.0024,28.62390327
0.4507,0.4019,0.0024,25.74252129
0.4629,0.4409,0.0026,30.22890091
0.4482,0.3996,0.0025,28.34652901
0.4779,0.5037,0.0029,30.18131638
0.6288,0.4221,0.0017,22.65993309
0.4162,0.3704,0.0022,47.31085587
0.5425,0.4716,0.0023,32.40454102
0.6645,1.0011,0.0023,17.42336655
0.5461,0.6462,0.0027,27.73741722
0.6627,0.5798,0.0029,21.80903625
0.5159,0.6225,0.0033,20.13698578
0.4327,0.3801,0.0024,25.18115616
0.4414,0.2917,0.0019,23.72894669
0.4457,0.2406,0.0022,17.02502823
0.5325,0.3731,0.0024,18.55699539
0.4249,0.2511,0.0023,14.53581333
0.4099,0.2546,0.002,29.9330349
0.4246,0.2596,0.0022,21.36883736
0.4909,0.2269,0.0017,46.11507797
0.4615,0.2358,0.0021,45.31881332
0.414,0.2574,0.0021,24.78267097
0.4305,0.2785,0.0016,41.82284927
0.4771,0.2558,0.002,30.59145546
0.4803,0.2591,0.0023,40.64068985
0.7125,0.3568,0.0015,17.36564255
0.5152,0.4039,0.0026,38.00206757
0.4717,0.4106,0.0025,44.51448059
0.4508,0.3986,0.0026,46.47806931
0.6727,0.4775,0.0024,39.38084412
0.4819,0.4455,0.0022,40.60933304
0.4476,0.4173,0.0022,44.37089157
0.4976,0.4441,0.0025,43.13610077
0.5702,0.3703,0.0026,42.46100998
0.6149,0.3699,0.0026,46.10374451
0.4537,0.3417,0.002,46.7252655
0.6192,0.3541,0.002,42.60467148
0.4822,0.4517,0.0021,42.19020844
0.4515,0.467,0.0031,43.35040665
0.4338,0.3723,0.0019,42.60208893
0.5459,0.4271,0.0021,40.49773026
0.4691,0.4754,0.0025,42.83317566
0.4295,0.371,0.0017,48.47867966
0.4216,0.344,0.0027,48.86648941
0.4091,0.3479,0.0029,47.03173828
0.425,0.4119,0.0024,36.58452988
0.3812,0.3223,0.0022,48.98299789
0.3831,0.3092,0.0022,49.26221466
0.4224,0.3989,0.0028,46.00790405
0.4142,0.3372,0.002,49.22418976
0.422,0.3267,0.0027,40.07744598
0.422,0.3267,0.0027,40.07744598
0.526,0.3083,0.002,31.02138901
0.4182,0.418,0.0026,28.49880219
0.4182,0.418,0.0026,28.49880219
0.4334,0.347,0.0027,40.86804962
0.4956,0.6226,0.0034,26.79548264
0.4956,0.6226,0.0034,26.79548264
0.5392,0.5619,0.0028,21.39379883
0.4806,0.3913,0.0025,39.37974548
0.4806,0.3913,0.0025,39.37974548
0.3972,0.3332,0.0026,40.27394104
0.5158,0.3795,0.002,36.37325668
0.5591,0.3234,0.0015,29.24839783
0.3409,0.1115,0.0019,9.790493965
0.3443,0.104,0.0017,9.790493965
0.3543,0.1072,0.002,11.1180048
0.3357,0.1004,0.0018,10.3163681
0.3263,0.1157,0.0022,22.49938583
0.3363,0.0886,0.0023,23.7542305
0.3277,0.0943,0.0022,23.05662727
0.3412,0.1366,0.0016,25.4349556
0.3456,0.1336,0.0021,36.49496841
0.3194,0.0951,0.0021,31.49745178
0.3243,0.1018,0.0024,31.15263939
0.5845,0.1162,0.001,51.60368729
0.3331,0.0813,0.0017,19.11891937
0.4798,0.1427,0.0021,35.64651108
0.3263,0.1155,0.0021,22.25592232
0.3592,0.0909,0.0016,28.10313034
0.4411,0.1235,0.0016,40.27041245
0.3418,0.0924,0.0018,24.48753929
0.3191,0.0905,0.0017,26.7080574
0.3219,0.0981,0.0026,26.16605377
0.345,0.1014,0.0019,25.17041016
0.5029,0.1385,0.0014,52.961586
0.3313,0.1254,0.0016,31.80126762
0.3144,0.097,0.0022,19.56832123
0.3267,0.0999,0.0022,27.63876534
0.5581,0.111,0.001,48.36060715
0.3241,0.0897,0.0019,22.99934578
0.3273,0.0894,0.0019,26.90162277
0.3429,0.0915,0.0017,28.0252037
0.329,0.1068,0.0019,23.39089203
0.3288,0.089,0.0014,27.25277901
0.3076,0.0851,0.0016,31.92464066
0.3493,0.1367,0.0017,42.0959549
0.3519,0.1173,0.0017,42.0959549
0.3537,0.0934,0.0015,35.44276428
0.3469,0.0767,0.0023,25.94657898
0.3616,0.1501,0.0022,43.56072617
0.3289,0.0934,0.0018,26.32222748
0.344,0.1042,0.0021,20.66107178
0.3822,0.0925,0.0019,36.85816193
0.3743,0.0904,0.0016,33.44186401
0.3339,0.1029,0.0028,30.21528053
0.328,0.0902,0.002,22.14015198
0.6486,0.1596,0.0009,24.35345078
0.3302,0.0956,0.0021,24.99209404
0.3373,0.0891,0.0023,46.5461998
0.3512,0.081,0.0017,27.27988052
0.3513,0.0764,0.002,18.11585236
0.3474,0.1004,0.002,27.97518349
0.3444,0.0894,0.0019,31.48986053
0.3387,0.1026,0.0017,28.47462082
0.3238,0.1098,0.0019,32.20841217
0.3241,0.0941,0.0018,27.61468506
0.3499,0.168,0.0023,63.33608627
0.5993,0.134,0.0011,41.37998962
0.329,0.096,0.002,26.69008636
0.4831,0.1088,0.0017,32.88975525
0.3408,0.0889,0.0019,26.58488846
0.4361,0.0903,0.0016,12.39645958
0.499,0.0875,0.001,41.54289246
0.3795,0.3924,0.0022,46.01033783
0.3546,0.1315,0.0018,63.05134964
0.9079,1.4912,0.0081,15.37193394
0.5771,9.0937,0.0144,19.86558533
0.3248,0.1729,0.0023,62.51918793
0.3248,0.1729,0.0023,62.51918793
0.4441,0.4105,0.003,33.71397018
0.4141,0.4766,0.0025,15.89643097
0.46,0.9619,0.0027,15.66329575
0.3574,0.1612,0.0026,59.99755859
0.3361,0.0916,0.0021,44.98246765
0.3645,0.1778,0.0018,58.45599747
0.3626,0.2141,0.0023,41.26315308
0.3626,0.2141,0.0023,41.26315308
0.6517,15.5201,0.0053,21.26587105
0.3763,0.2505,0.0023,51.63182449
0.3344,0.1025,0.0018,30.55175209
0.3344,0.1025,0.0018,30.55175209
0.4774,0.5106,0.0027,31.70771027
0.4774,0.5106,0.0027,31.70771027
0.3442,0.1652,0.0017,47.27975845
0.3522,0.2258,0.0019,20.14407349
0.4268,0.3147,0.0022,12.95982742
0.3182,0.0899,0.0021,20.34897995
0.3636,0.0877,0.0018,24.02915001
0.3214,0.1017,0.0022,27.91436577
0.3114,0.0954,0.0024,20.76783562
0.3923,0.1143,0.0021,24.45119095
0.372,0.2046,0.0022,17.93169022
0.4356,0.1065,0.0021,23.0602169
